player_id,league
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
arizatr01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbj01,NBA
armstbr01,NBA
armstbr01,NBA
armstbr01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armstda01,NBA
armsthi01,NBA
armsthi01,NBA
armsthi01,NBA
armsthi01,NBA
armsthi01,NBA
arroyca01,NBA
arroyca01,NBA
arroyca01,NBA
arroyca01,NBA
arroyca01,NBA
arroyca01,NBA
arroyca01,NBA
arroyca01,NBA
arroyca01,NBA
arthuda01,NBA
arthuda01,NBA
arthuda01,NBA
arthuda01,NBA
arthuda01,NBA
arthuda01,NBA
arthuda01,NBA
arthuda01,NBA
arthuda01,NBA
arthuda01,NBA
asikom01,NBA
asikom01,NBA
asikom01,NBA
asikom01,NBA
asikom01,NBA
asikom01,NBA
asikom01,NBA
asikom01,NBA
askewvi01,NBA
askewvi01,NBA
askewvi01,NBA
askewvi01,NBA
askewvi01,NBA
askewvi01,NBA
askinke01,NBA
askinke01,NBA
askinke01,NBA
askinke01,NBA
askinke01,NBA
askinke01,NBA
askinke01,NBA
askinke01,NBA
askinke01,NBA
askinke01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
atkinch01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augmost01,NBA
augusdj01,NBA
augusdj01,NBA
augusdj01,NBA
augusdj01,NBA
augusdj01,NBA
augusdj01,NBA
augusdj01,NBA
augusdj01,NBA
augusdj01,NBA
augusdj01,NBA
augusja01,NBA
augusja01,NBA
austiis01,NBA
austiis01,NBA
austiis01,NBA
austiis01,NBA
austiis01,NBA
austiis01,NBA
austiis01,NBA
austiis01,NBA
austiis01,NBA
aventan01,NBA
aventan01,NBA
aventan01,NBA
aventan01,NBA
aventan01,NBA
averywi01,NBA
averywi01,NBA
averywi01,NBA
ayongu01,NBA
ayongu01,NBA
ayongu01,NBA
pendeje02,NBA
pendeje02,NBA
