,league
874,NBA
875,NBA
876,NBA
877,NBA
878,NBA
879,NBA
880,NBA
881,NBA
882,NBA
883,NBA
884,NBA
885,NBA
886,NBA
887,NBA
888,NBA
889,NBA
890,NBA
891,NBA
892,NBA
893,NBA
894,NBA
895,NBA
896,NBA
897,NBA
898,NBA
899,NBA
900,NBA
901,NBA
902,NBA
903,NBA
904,NBA
905,NBA
906,NBA
907,NBA
908,NBA
909,NBA
910,NBA
911,NBA
912,NBA
913,NBA
914,NBA
915,NBA
916,NBA
917,NBA
918,NBA
919,NBA
920,NBA
921,NBA
922,NBA
923,NBA
924,NBA
925,NBA
926,NBA
927,NBA
928,NBA
929,NBA
930,NBA
931,NBA
932,NBA
933,NBA
934,NBA
935,NBA
936,NBA
937,NBA
938,NBA
939,NBA
940,NBA
941,NBA
942,NBA
943,NBA
944,NBA
945,NBA
946,NBA
947,NBA
948,NBA
949,NBA
950,NBA
951,NBA
952,NBA
953,NBA
954,NBA
955,NBA
956,NBA
957,NBA
958,NBA
959,NBA
960,NBA
961,NBA
962,NBA
963,NBA
964,NBA
965,NBA
966,NBA
967,NBA
968,NBA
969,NBA
970,NBA
971,NBA
972,NBA
973,NBA
974,NBA
975,NBA
976,NBA
977,NBA
978,NBA
979,NBA
980,NBA
981,NBA
982,NBA
983,NBA
984,NBA
985,NBA
986,NBA
987,NBA
988,NBA
989,NBA
990,NBA
991,NBA
992,NBA
993,NBA
994,NBA
995,NBA
996,NBA
997,NBA
998,NBA
999,NBA
1000,NBA
1001,NBA
1002,NBA
1003,NBA
1004,NBA
1005,NBA
1006,NBA
1007,NBA
1008,NBA
1009,NBA
1010,NBA
1011,NBA
1012,NBA
1013,NBA
1014,NBA
1015,NBA
1016,NBA
1017,NBA
1018,NBA
1019,NBA
1020,NBA
1021,NBA
1022,NBA
1023,NBA
1024,NBA
1025,NBA
1026,NBA
1027,NBA
1028,NBA
1029,NBA
1030,NBA
1031,NBA
1032,NBA
1033,NBA
1034,NBA
1035,NBA
1036,NBA
1037,NBA
1038,NBA
1039,NBA
1040,NBA
1041,NBA
1042,NBA
1043,NBA
1044,NBA
1045,NBA
1046,NBA
1047,NBA
1048,NBA
1049,NBA
1050,NBA
1051,NBA
1052,NBA
1053,NBA
1054,NBA
1055,NBA
1056,NBA
1057,NBA
1058,NBA
1059,NBA
1060,NBA
1061,NBA
1062,NBA
1063,NBA
1064,NBA
1065,NBA
1066,NBA
1067,NBA
1068,NBA
1069,NBA
1070,NBA
1071,NBA
1072,NBA
1073,NBA
1074,NBA
1075,NBA
1076,NBA
1077,NBA
1078,NBA
1079,NBA
1080,NBA
1081,NBA
1082,NBA
1083,NBA
1084,NBA
1085,NBA
1086,NBA
1087,NBA
1088,NBA
1089,NBA
1090,NBA
1091,NBA
1092,NBA
1093,NBA
1094,NBA
1095,NBA
1096,NBA
1097,NBA
1098,NBA
1099,NBA
1100,NBA
1101,NBA
1102,NBA
1103,NBA
1104,NBA
1105,NBA
1106,NBA
1107,NBA
1108,NBA
1109,NBA
1110,NBA
1111,NBA
1112,NBA
1113,NBA
1114,NBA
1115,NBA
1116,NBA
1117,NBA
1118,NBA
1119,NBA
1120,NBA
1121,NBA
1122,NBA
1123,NBA
1124,NBA
1125,NBA
1126,NBA
1127,NBA
1128,NBA
1129,NBA
1130,NBA
1131,NBA
1132,NBA
1133,NBA
1134,NBA
1135,NBA
1136,NBA
1137,NBA
1138,NBA
1139,NBA
1140,NBA
1141,NBA
1142,NBA
1143,NBA
1144,NBA
1145,NBA
1146,NBA
1147,NBA
1148,NBA
1149,NBA
1150,NBA
1151,NBA
1152,NBA
1153,NBA
1154,NBA
1155,NBA
1156,NBA
1157,NBA
1158,NBA
1159,NBA
1160,NBA
1161,NBA
1162,NBA
1163,NBA
1164,NBA
1165,NBA
1166,NBA
1167,NBA
1168,NBA
1169,NBA
1170,NBA
1171,NBA
1172,NBA
1173,NBA
1174,NBA
1175,NBA
1176,NBA
1177,NBA
1178,NBA
1179,NBA
1180,NBA
1181,NBA
1182,NBA
1183,NBA
1184,NBA
1185,NBA
1186,NBA
1187,NBA
1188,NBA
1189,NBA
1190,NBA
1191,NBA
1192,NBA
1193,NBA
1194,NBA
1195,NBA
1196,NBA
1197,NBA
1198,NBA
1199,NBA
1200,NBA
1201,NBA
1202,NBA
1203,NBA
1204,NBA
1205,NBA
1206,NBA
1207,NBA
1208,NBA
1209,NBA
1210,NBA
1211,NBA
1212,NBA
1213,NBA
1214,NBA
1215,NBA
1216,NBA
1217,NBA
1218,NBA
1219,NBA
1220,NBA
1221,NBA
1222,NBA
1223,NBA
1224,NBA
1225,NBA
1226,NBA
1227,NBA
1228,NBA
1229,NBA
1230,NBA
1231,NBA
1232,NBA
1233,NBA
1234,NBA
1235,NBA
1236,NBA
1237,NBA
1238,NBA
1239,NBA
1240,NBA
1241,NBA
1242,NBA
1243,NBA
1244,NBA
1245,NBA
1246,NBA
1247,NBA
1248,NBA
1249,NBA
1250,NBA
1251,NBA
1252,NBA
1253,NBA
1254,NBA
1255,NBA
1256,NBA
1257,NBA
1258,NBA
1259,NBA
1260,NBA
1261,NBA
1262,NBA
1263,NBA
1264,NBA
1265,NBA
1266,NBA
1267,NBA
1268,NBA
1269,NBA
1270,NBA
1271,NBA
1272,NBA
1273,NBA
1274,NBA
1275,NBA
1276,NBA
1277,NBA
1278,NBA
1279,NBA
1280,NBA
1281,NBA
1282,NBA
1283,NBA
1284,NBA
1285,NBA
1286,NBA
1287,NBA
1288,NBA
1289,NBA
1290,NBA
1291,NBA
1292,NBA
1293,NBA
1294,NBA
1295,NBA
1296,NBA
1297,NBA
1298,NBA
1299,NBA
1300,NBA
1301,NBA
1302,NBA
1303,NBA
1304,NBA
1305,NBA
1306,NBA
1307,NBA
1308,NBA
1309,NBA
1310,NBA
1311,NBA
1312,NBA
1313,NBA
1314,NBA
1315,NBA
1316,NBA
1317,NBA
1318,NBA
1319,NBA
1320,NBA
1321,NBA
1322,NBA
1323,NBA
1324,NBA
1325,NBA
1326,NBA
1327,NBA
1328,NBA
1329,NBA
1330,NBA
1331,NBA
1332,NBA
1333,NBA
1334,NBA
1335,NBA
1336,NBA
1337,NBA
1338,NBA
1339,NBA
1340,NBA
1341,NBA
1342,NBA
1343,NBA
1344,NBA
1345,NBA
1346,NBA
1347,NBA
1348,NBA
1349,NBA
1350,NBA
1351,NBA
1352,NBA
1353,NBA
1354,NBA
1355,NBA
1356,NBA
1357,NBA
1358,NBA
1359,NBA
1360,NBA
1361,NBA
1362,NBA
1363,NBA
1364,NBA
1365,NBA
1366,NBA
1367,NBA
1368,NBA
1369,NBA
1370,NBA
1371,NBA
1372,NBA
1373,NBA
1374,NBA
1375,NBA
1376,NBA
1377,NBA
1378,NBA
1379,NBA
1380,NBA
1381,NBA
1382,NBA
1383,NBA
1384,NBA
1385,NBA
1386,NBA
1387,NBA
1388,NBA
1389,NBA
1390,NBA
1391,NBA
1392,NBA
1393,NBA
1394,NBA
1395,NBA
1396,NBA
1397,NBA
1398,NBA
1399,NBA
1400,NBA
1401,NBA
1402,NBA
1403,NBA
1404,NBA
1405,NBA
1406,NBA
1407,NBA
1408,NBA
1409,NBA
1410,NBA
1411,NBA
1412,NBA
1413,NBA
1414,NBA
1415,NBA
1416,NBA
1417,NBA
1418,NBA
1419,NBA
1420,NBA
1421,NBA
1422,NBA
1423,NBA
1424,NBA
1425,NBA
1426,NBA
1427,NBA
1428,NBA
1429,NBA
1430,NBA
1431,NBA
1432,NBA
1433,NBA
1434,NBA
1435,NBA
1436,NBA
1437,NBA
1438,NBA
1439,NBA
1440,NBA
1441,NBA
1442,NBA
1443,NBA
1444,NBA
1445,NBA
1446,NBA
1447,NBA
1448,NBA
1449,NBA
1450,NBA
1451,NBA
1452,NBA
1453,NBA
1454,NBA
1455,NBA
1456,NBA
1457,NBA
1458,NBA
1459,NBA
1460,NBA
1461,NBA
1462,NBA
1463,NBA
1464,NBA
1465,NBA
1466,NBA
1467,NBA
1468,NBA
1469,NBA
1470,NBA
1471,NBA
1472,NBA
1473,NBA
1474,NBA
1475,NBA
1476,NBA
1477,NBA
1478,NBA
1479,NBA
1480,NBA
1481,NBA
1482,NBA
1483,NBA
1484,NBA
1485,NBA
1486,NBA
1487,NBA
1488,NBA
1489,NBA
1490,NBA
1491,NBA
1492,NBA
1493,NBA
1494,NBA
1495,NBA
1496,NBA
1497,NBA
1498,NBA
1499,NBA
1500,NBA
1501,NBA
1502,NBA
1503,NBA
1504,NBA
1505,NBA
1506,NBA
1507,NBA
1508,NBA
1509,NBA
1510,NBA
1511,NBA
1512,NBA
1513,NBA
1514,NBA
1515,NBA
1516,NBA
1517,NBA
1518,NBA
1519,NBA
1520,NBA
1521,NBA
1522,NBA
1523,NBA
1524,NBA
1525,NBA
1526,NBA
1527,NBA
1528,NBA
1529,NBA
1530,NBA
1531,NBA
1532,NBA
1533,NBA
1534,NBA
1535,NBA
1536,NBA
1537,NBA
1538,NBA
1539,NBA
1540,NBA
1541,NBA
1542,NBA
1543,NBA
1544,NBA
1545,NBA
1546,NBA
1547,NBA
1548,NBA
1549,NBA
1550,NBA
1551,NBA
1552,NBA
1553,NBA
1554,NBA
1555,NBA
1556,NBA
1557,NBA
1558,NBA
1559,NBA
1560,NBA
1561,NBA
1562,NBA
1563,NBA
1564,NBA
1565,NBA
1566,NBA
1567,NBA
1568,NBA
1569,NBA
1570,NBA
1571,NBA
1572,NBA
1573,NBA
1574,NBA
1575,NBA
1576,NBA
1577,NBA
1578,NBA
1579,NBA
1580,NBA
1581,NBA
1582,NBA
1583,NBA
1584,NBA
1585,NBA
1586,NBA
1587,NBA
1588,NBA
1589,NBA
1590,NBA
1591,NBA
1592,NBA
1593,NBA
1594,NBA
1595,NBA
1596,NBA
1597,NBA
1598,NBA
1599,NBA
1600,NBA
1601,NBA
1602,NBA
1603,NBA
1604,NBA
1605,NBA
1606,NBA
1607,NBA
1608,NBA
1609,NBA
1610,NBA
1611,NBA
1612,NBA
1613,NBA
1614,NBA
1615,NBA
1616,NBA
1617,NBA
1618,NBA
1619,NBA
1620,NBA
1621,NBA
1622,NBA
1623,NBA
1624,NBA
1625,NBA
1626,NBA
1627,NBA
1628,NBA
1629,NBA
1630,NBA
1631,NBA
1632,NBA
1633,NBA
1634,NBA
1635,NBA
1636,NBA
1637,NBA
1638,NBA
1639,NBA
1640,NBA
1641,NBA
1642,NBA
1643,NBA
1644,NBA
1645,NBA
1646,NBA
1647,NBA
1648,NBA
1649,NBA
1650,NBA
1651,NBA
1652,NBA
1653,NBA
1654,NBA
1655,NBA
1656,NBA
1657,NBA
1658,NBA
1659,NBA
1660,NBA
1661,NBA
1662,NBA
1663,NBA
1664,NBA
1665,NBA
1666,NBA
1667,NBA
1668,NBA
1669,NBA
1670,NBA
1671,NBA
1672,NBA
1673,NBA
1674,NBA
1675,NBA
1676,NBA
1677,NBA
1678,NBA
1679,NBA
1680,NBA
1681,NBA
1682,NBA
1683,NBA
1684,NBA
1685,NBA
1686,NBA
1687,NBA
1688,NBA
1689,NBA
1690,NBA
1691,NBA
1692,NBA
1693,NBA
1694,NBA
1695,NBA
1696,NBA
1697,NBA
1698,NBA
1699,NBA
1700,NBA
1701,NBA
1702,NBA
1703,NBA
1704,NBA
1705,NBA
1706,NBA
1707,NBA
1708,NBA
1709,NBA
1710,NBA
1711,NBA
1712,NBA
1713,NBA
1714,NBA
1715,NBA
1716,NBA
1717,NBA
1718,NBA
1719,NBA
1720,NBA
1721,NBA
1722,NBA
1723,NBA
1724,NBA
1725,NBA
1726,NBA
1727,NBA
1728,NBA
1729,NBA
1730,NBA
1731,NBA
1732,NBA
1733,NBA
1734,NBA
1735,NBA
1736,NBA
1737,NBA
1738,NBA
1739,NBA
1740,NBA
1741,NBA
1742,NBA
1743,NBA
1744,NBA
1745,NBA
1746,NBA
1747,NBA
1748,NBA
1749,NBA
1750,NBA
1751,NBA
1752,NBA
1753,NBA
1754,NBA
1755,NBA
1756,NBA
1757,NBA
1758,NBA
1759,NBA
1760,NBA
1761,NBA
1762,NBA
1763,NBA
1764,NBA
1765,NBA
1766,NBA
1767,NBA
1768,NBA
1769,NBA
1770,NBA
1771,NBA
1772,NBA
1773,NBA
1774,NBA
1775,NBA
1776,NBA
1777,NBA
1778,NBA
1779,NBA
1780,NBA
1781,NBA
1782,NBA
1783,NBA
1784,NBA
1785,NBA
1786,NBA
1787,NBA
1788,NBA
1789,NBA
1790,NBA
1791,NBA
1792,NBA
1793,NBA
1794,NBA
1795,NBA
1796,NBA
1797,NBA
1798,NBA
1799,NBA
1800,NBA
1801,NBA
1802,NBA
1803,NBA
1804,NBA
1805,NBA
1806,NBA
1807,NBA
1808,NBA
1809,NBA
